kreis_id;kreis_name;kreis_bevoelkerung_gesamt;fallzahl;fallzahl_pro_100k
01001;Flensburg, Stadt;90164;2262;2,50876181180959
01002;Kiel, Landeshauptstadt;246794;5397;2,18684408859210
01003;Lübeck, Hansestadt;216530;5697;2,63104419710895
01004;Neumünster, Stadt;80196;1819;2,26819292732805
01051;Dithmarschen;133193;1973;1,48130907780439
01053;Herzogtum Lauenburg;198019;5150;2,60076053308016
01054;Nordfriesland;165951;2735;1,64807684195937
01055;Ostholstein;200539;3344;1,66750607113828
01056;Pinneberg;316103;10432;3,30019012790135
01057;Plön;128686;1354;1,05217350760767
01058;Rendsburg-Eckernförde;274098;4073;1,48596487387723
01059;Schleswig-Flensburg;201156;2875;1,42923899858816
01060;Segeberg;277175;6790;2,44971588346712
01061;Steinburg;131013;2351;1,79447841053941
01062;Stormarn;244156;6991;2,86333327872344
02000;Hamburg, Freie und Hansestadt;1847253;76379;4,13473411600901
03101;Braunschweig, Stadt;249406;6476;2,59656944901085
03102;Salzgitter, Stadt;104291;5320;5,10111131353616
03103;Wolfsburg, Stadt;124371;3992;3,20975146939399
03151;Gifhorn;176523;6056;3,43071441115322
03153;Goslar;136292;2603;1,90986998503214
03154;Helmstedt;91297;2408;2,63754559295486
03155;Northeim;132285;2591;1,95864988471860
03157;Peine;134801;5414;4,01629068033620
03158;Wolfenbüttel;119622;2880;2,40758388925114
03159;Göttingen;326041;8009;2,45643952754408
03241;Region Hannover;1157115;48070;4,15429754173094
03251;Diepholz;217089;6970;3,21066475040191
03252;Hameln-Pyrmont;148549;4224;2,84350618314496
03254;Hildesheim;275817;8719;3,16115395352716
03255;Holzminden;70458;1626;2,30775781316529
03256;Nienburg (Weser);121390;3701;3,04885081143422
03257;Schaumburg;157820;4804;3,04397414776327
03351;Celle;179011;4617;2,57917111238974
03352;Cuxhaven;198038;4583;2,31420232480635
03353;Harburg;254431;6540;2,57044149494362
03354;Lüchow-Dannenberg;48412;888;1,83425596959432
03355;Lüneburg;184139;3418;1,85620645273408
03356;Osterholz;113928;2714;2,38220630573696
03357;Rotenburg (Wümme);163782;3989;2,43555457864723
03358;Heidekreis;140673;3377;2,40060281646087
03359;Stade;204512;5064;2,47613831951181
03360;Uelzen;92389;2178;2,35742350279795
03361;Verden;137133;3936;2,87020629607753
03401;Delmenhorst, Stadt;77559;3495;4,50624685723127
03402;Emden, Stadt;49913;1306;2,61655280187526
03403;Oldenburg (Oldenburg), Stadt;169077;4254;2,51601341400664
03404;Osnabrück, Stadt;165251;7490;4,53249904690441
03405;Wilhelmshaven, Stadt;76089;1928;2,53387480450525
03451;Ammerland;124859;3142;2,51643854267614
03452;Aurich;189694;3633;1,91518972661233
03453;Cloppenburg;170682;10805;6,33048593290447
03454;Emsland;326954;12582;3,84824776574075
03455;Friesland;98704;1623;1,64431026098233
03456;Grafschaft Bentheim;137162;5305;3,86768930170164
03457;Leer;170756;4428;2,59317388554429
03458;Oldenburg;130890;5030;3,84292153716861
03459;Osnabrück;358080;15497;4,32780384271671
03460;Vechta;142814;8715;6,10234290755808
03461;Wesermarsch;88583;3242;3,65984443967804
03462;Wittmund;56926;1232;2,16421318905245
04011;Bremen, Stadt;567559;22649;3,99059833427009
04012;Bremerhaven, Stadt;113643;4509;3,96768828700404
05111;Düsseldorf, Stadt;621877;24909;4,00545445481984
05112;Duisburg, Stadt;498686;28592;5,73346755272857
05113;Essen, Stadt;582760;25741;4,41708421991901
05114;Krefeld, Stadt;227417;11519;5,06514464617861
05116;Mönchengladbach, Stadt;261034;10875;4,16612395320150
05117;Mülheim an der Ruhr, Stadt;170632;8395;4,91994467626237
05119;Oberhausen, Stadt;210764;10904;5,17355905183048
05120;Remscheid, Stadt;111338;6227;5,59287934038693
05122;Solingen, Klingenstadt;159245;9210;5,78354108449245
05124;Wuppertal, Stadt;355100;19889;5,60095747676711
05154;Kleve;312465;11265;3,60520378282368
05158;Mettmann;485570;24085;4,96014992689005
05162;Rhein-Kreis Neuss;451730;17994;3,98335288778695
05166;Viersen;298863;11536;3,85996259155533
05170;Wesel;459976;17567;3,81911230151138
05314;Bonn, Stadt;329673;14334;4,34794478164727
05315;Köln, Stadt;1087863;52928;4,86531851896792
05316;Leverkusen, Stadt;163729;7873;4,80855560102364
05334;Städteregion Aachen;557026;26376;4,73514701288629
05358;Düren;264638;13569;5,12738155518104
05362;Rhein-Erft-Kreis;470615;19927;4,23424667722023
05366;Euskirchen;193656;7913;4,08611145536415
05370;Heinsberg;255555;11484;4,49374889945413
05374;Oberbergischer Kreis;272057;14312;5,26066228768236
05378;Rheinisch-Bergischer Kreis;283271;11165;3,94145535547232
05382;Rhein-Sieg-Kreis;600764;23053;3,83728052945916
05512;Bottrop, Stadt;117565;5335;4,53791519584910
05513;Gelsenkirchen, Stadt;259645;15373;5,92077644476112
05515;Münster, Stadt;315293;8142;2,58235990015636
05554;Borken;371339;13801;3,71655010650645
05558;Coesfeld;220586;5554;2,51783884743365
05562;Recklinghausen;614137;31416;5,11547097797397
05566;Steinfurt;448220;16914;3,77359332470662
05570;Warendorf;277840;11617;4,18118341491506
05711;Bielefeld, Stadt;334195;15692;4,69546223013510
05754;Gütersloh;364938;19838;5,43599186711167
05758;Herford;250578;11102;4,43055655324889
05762;Höxter;140251;5042;3,59498327997661
05766;Lippe;347514;17007;4,89390355496469
05770;Minden-Lübbecke;310409;14856;4,78594370652913
05774;Paderborn;307839;10316;3,35110236194894
05911;Bochum, Stadt;365587;15943;4,36093187120986
05913;Dortmund, Stadt;588250;27924;4,74696132596685
05914;Hagen, Stadt der FernUniversität;188686;12290;6,51346681788792
05915;Hamm, Stadt;179916;10250;5,69710309255430
05916;Herne, Stadt;156449;9499;6,07162717562912
05954;Ennepe-Ruhr-Kreis;324106;13303;4,10452136029571
05958;Hochsauerlandkreis;259777;9655;3,71664927995935
05962;Märkischer Kreis;410222;20652;5,03434725587609
05966;Olpe;133955;5794;4,32533313426151
05970;Siegen-Wittgenstein;276944;11546;4,16907389219481
05974;Soest;301785;8578;2,84242092880693
05978;Unna;394891;18825;4,76713827359955
06411;Darmstadt, Wissenschaftsstadt;159878;5746;3,59399041769349
06412;Frankfurt am Main, Stadt;763380;38756;5,07689486232283
06413;Offenbach am Main, Stadt;130280;9201;7,06248081056187
06414;Wiesbaden, Landeshauptstadt;278474;12863;4,61910268104024
06431;Bergstraße;270340;10986;4,06377154694089
06432;Darmstadt-Dieburg;297844;10987;3,68884382428385
06433;Groß-Gerau;275726;13992;5,07460304795340
06434;Hochtaunuskreis;236914;8262;3,48734139814447
06435;Main-Kinzig-Kreis;420552;22283;5,29851243128079
06436;Main-Taunus-Kreis;238558;8913;3,73619832493566
06437;Odenwaldkreis;96703;4401;4,55104805435198
06438;Offenbach;355813;18218;5,12010522381138
