date;category;variable;value
2020-01-13;mobility;driving;0,0000000000000000
2020-01-14;mobility;driving;1,7199999999999989
2020-01-15;mobility;driving;4,2800000000000011
2020-01-16;mobility;driving;5,8199999999999932
2020-01-17;mobility;driving;10,3100000000000023
2020-01-18;mobility;driving;9,0000000000000000
2020-01-19;mobility;driving;-6,7300000000000040
2020-01-20;mobility;driving;1,4099999999999966
2020-01-21;mobility;driving;5,0699999999999932
2020-01-22;mobility;driving;3,3799999999999955
2020-01-23;mobility;driving;2,7800000000000011
2020-01-24;mobility;driving;7,8900000000000006
2020-01-25;mobility;driving;12,5199999999999960
2020-01-26;mobility;driving;-8,0100000000000051
2020-01-27;mobility;driving;3,5999999999999943
2020-01-28;mobility;driving;3,7300000000000040
2020-01-29;mobility;driving;3,5499999999999972
2020-01-30;mobility;driving;2,5499999999999972
2020-01-31;mobility;driving;19,9000000000000057
2020-02-01;mobility;driving;11,7999999999999972
2020-02-02;mobility;driving;-1,7300000000000040
2020-02-03;mobility;driving;5,8100000000000023
2020-02-04;mobility;driving;7,9599999999999937
2020-02-05;mobility;driving;11,4099999999999966
2020-02-06;mobility;driving;5,9300000000000068
2020-02-07;mobility;driving;12,5000000000000000
2020-02-08;mobility;driving;14,6800000000000068
2020-02-09;mobility;driving;2,1200000000000045
2020-02-10;mobility;driving;7,8900000000000006
2020-02-11;mobility;driving;12,5499999999999972
2020-02-12;mobility;driving;9,2800000000000011
2020-02-13;mobility;driving;14,3700000000000045
2020-02-14;mobility;driving;27,3299999999999983
2020-02-15;mobility;driving;22,6700000000000017
2020-02-16;mobility;driving;2,1599999999999966
2020-02-17;mobility;driving;8,4599999999999937
2020-02-18;mobility;driving;9,8599999999999994
2020-02-19;mobility;driving;7,2999999999999972
2020-02-20;mobility;driving;7,5799999999999983
2020-02-21;mobility;driving;23,3799999999999955
2020-02-22;mobility;driving;8,2900000000000063
2020-02-23;mobility;driving;-11,6899999999999977
2020-02-24;mobility;driving;-3,7999999999999972
2020-02-25;mobility;driving;-3,6700000000000017
2020-02-26;mobility;driving;-0,0900000000000034
2020-02-27;mobility;driving;8,1099999999999994
2020-02-28;mobility;driving;15,4399999999999977
2020-02-29;mobility;driving;16,2199999999999989
2020-03-01;mobility;driving;-3,9200000000000017
2020-03-02;mobility;driving;1,9300000000000068
2020-03-03;mobility;driving;3,6299999999999955
2020-03-04;mobility;driving;1,5000000000000000
2020-03-05;mobility;driving;7,2000000000000028
2020-03-06;mobility;driving;14,9000000000000057
2020-03-07;mobility;driving;10,6099999999999994
2020-03-08;mobility;driving;-4,9200000000000017
2020-03-09;mobility;driving;-1,2099999999999937
2020-03-10;mobility;driving;-1,3700000000000045
2020-03-11;mobility;driving;-2,6899999999999977
2020-03-12;mobility;driving;-9,2199999999999989
2020-03-13;mobility;driving;-16,0100000000000051
2020-03-14;mobility;driving;-22,6500000000000057
2020-03-15;mobility;driving;-32,2500000000000000
2020-03-16;mobility;driving;-30,8900000000000006
2020-03-17;mobility;driving;-34,9599999999999937
2020-03-18;mobility;driving;-42,0000000000000000
2020-03-19;mobility;driving;-44,0700000000000003
2020-03-20;mobility;driving;-48,6899999999999977
2020-03-21;mobility;driving;-65,0399999999999920
2020-03-22;mobility;driving;-64,9000000000000057
2020-03-23;mobility;driving;-56,2299999999999969
2020-03-24;mobility;driving;-57,0099999999999980
2020-03-25;mobility;driving;-55,2000000000000028
2020-03-26;mobility;driving;-54,0700000000000003
2020-03-27;mobility;driving;-51,7999999999999972
2020-03-28;mobility;driving;-54,9099999999999966
2020-03-29;mobility;driving;-61,1300000000000026
2020-03-30;mobility;driving;-49,5600000000000023
2020-03-31;mobility;driving;-47,9699999999999989
2020-04-01;mobility;driving;-47,1899999999999977
2020-04-02;mobility;driving;-46,6199999999999974
2020-04-03;mobility;driving;-47,3699999999999974
2020-04-04;mobility;driving;-52,9900000000000020
2020-04-05;mobility;driving;-50,1099999999999994
2020-04-06;mobility;driving;-44,0600000000000023
2020-04-07;mobility;driving;-40,5600000000000023
2020-04-08;mobility;driving;-39,3699999999999974
2020-04-09;mobility;driving;-42,8400000000000034
2020-04-10;mobility;driving;-51,5099999999999980
2020-04-11;mobility;driving;-46,8100000000000023
2020-04-12;mobility;driving;-58,5200000000000031
2020-04-13;mobility;driving;-49,3999999999999986
2020-04-14;mobility;driving;-39,7899999999999991
2020-04-15;mobility;driving;-38,9799999999999969
2020-04-16;mobility;driving;-36,6300000000000026
2020-04-17;mobility;driving;-37,0399999999999991
2020-04-18;mobility;driving;-44,7800000000000011
2020-04-19;mobility;driving;-42,1199999999999974
2020-04-20;mobility;driving;-34,6899999999999977
2020-04-21;mobility;driving;-33,8900000000000006
2020-04-22;mobility;driving;-32,2999999999999972
2020-04-23;mobility;driving;-31,2199999999999989
2020-04-24;mobility;driving;-34,7500000000000000
2020-04-25;mobility;driving;-38,6599999999999966
2020-04-26;mobility;driving;-40,1300000000000026
2020-04-27;mobility;driving;-32,3799999999999955
2020-04-28;mobility;driving;-33,9699999999999989
2020-04-29;mobility;driving;-32,0100000000000051
2020-04-30;mobility;driving;-32,8599999999999994
2020-05-01;mobility;driving;-45,1099999999999994
2020-05-02;mobility;driving;-34,4599999999999937
2020-05-03;mobility;driving;-34,5199999999999960
2020-05-04;mobility;driving;-26,1200000000000045
2020-05-05;mobility;driving;-25,4800000000000040
2020-05-06;mobility;driving;-23,8199999999999932
2020-05-07;mobility;driving;-21,5199999999999960
2020-05-08;mobility;driving;-19,5400000000000063
2020-05-09;mobility;driving;-26,0799999999999983
2020-05-10;mobility;driving;-29,8700000000000045
2020-05-11;mobility;driving;NA
2020-05-12;mobility;driving;NA
2020-05-13;mobility;driving;-19,6899999999999977
2020-05-14;mobility;driving;-17,0400000000000063
2020-05-15;mobility;driving;-11,2000000000000028
2020-05-16;mobility;driving;-12,3199999999999932
2020-05-17;mobility;driving;-18,8100000000000023
2020-05-18;mobility;driving;-9,5499999999999972
2020-05-19;mobility;driving;-5,8700000000000045
2020-05-20;mobility;driving;-6,4899999999999949
2020-05-21;mobility;driving;-10,9599999999999937
2020-05-22;mobility;driving;-1,7399999999999949
2020-05-23;mobility;driving;-15,5699999999999932
2020-05-24;mobility;driving;-13,5100000000000051
2020-05-25;mobility;driving;-4,2300000000000040
2020-05-26;mobility;driving;0,2399999999999949
2020-05-27;mobility;driving;1,3299999999999983
2020-05-28;mobility;driving;4,6800000000000068
2020-05-29;mobility;driving;14,0600000000000023
2020-05-30;mobility;driving;9,3799999999999955
2020-05-31;mobility;driving;-5,4800000000000040
2020-06-01;mobility;driving;9,5999999999999943
2020-06-02;mobility;driving;9,4800000000000040
2020-06-03;mobility;driving;4,0600000000000023
2020-06-04;mobility;driving;5,0499999999999972
2020-06-05;mobility;driving;6,1599999999999966
2020-06-06;mobility;driving;7,9599999999999937
2020-06-07;mobility;driving;-2,5699999999999932
2020-06-08;mobility;driving;6,1400000000000006
2020-06-09;mobility;driving;5,9699999999999989
2020-06-10;mobility;driving;10,1899999999999977
2020-06-11;mobility;driving;1,2000000000000028
2020-06-12;mobility;driving;28,5699999999999932
2020-06-13;mobility;driving;14,1400000000000006
2020-06-14;mobility;driving;-2,4500000000000028
2020-06-15;mobility;driving;5,5699999999999932
2020-06-16;mobility;driving;6,4800000000000040
2020-06-17;mobility;driving;8,3900000000000006
2020-06-18;mobility;driving;13,5400000000000063
2020-06-19;mobility;driving;18,4399999999999977
2020-06-20;mobility;driving;18,2600000000000051
2020-06-21;mobility;driving;8,7300000000000040
2020-06-22;mobility;driving;8,6899999999999977
2020-06-23;mobility;driving;14,9399999999999977
2020-06-24;mobility;driving;14,7199999999999989
2020-06-25;mobility;driving;16,2399999999999949
2020-06-26;mobility;driving;26,2000000000000028
2020-06-27;mobility;driving;23,1099999999999994
2020-06-28;mobility;driving;12,2500000000000000
2020-06-29;mobility;driving;20,9200000000000017
2020-06-30;mobility;driving;22,0300000000000011
2020-07-01;mobility;driving;24,6099999999999994
2020-07-02;mobility;driving;23,2600000000000051
2020-07-03;mobility;driving;39,7299999999999898
2020-07-04;mobility;driving;40,7500000000000000
2020-07-05;mobility;driving;21,8400000000000034
2020-07-06;mobility;driving;25,6200000000000045
2020-07-07;mobility;driving;24,4300000000000068
2020-07-08;mobility;driving;23,9899999999999949
2020-07-09;mobility;driving;27,1899999999999977
2020-07-10;mobility;driving;35,3899999999999864
2020-07-11;mobility;driving;38,3400000000000034
2020-07-12;mobility;driving;26,7199999999999989
2020-07-13;mobility;driving;23,2699999999999960
2020-07-14;mobility;driving;25,2199999999999989
2020-07-15;mobility;driving;25,4099999999999966
2020-07-16;mobility;driving;27,4599999999999937
2020-07-17;mobility;driving;50,4499999999999886
2020-07-18;mobility;driving;41,7500000000000000
2020-07-19;mobility;driving;29,9300000000000068
2020-07-20;mobility;driving;27,9599999999999937
2020-07-21;mobility;driving;31,1899999999999977
2020-07-22;mobility;driving;33,8300000000000125
2020-07-23;mobility;driving;34,9699999999999989
2020-07-24;mobility;driving;44,4399999999999977
2020-07-25;mobility;driving;41,5000000000000000
2020-07-26;mobility;driving;25,6599999999999966
2020-07-27;mobility;driving;31,9699999999999989
2020-07-28;mobility;driving;32,5999999999999943
2020-07-29;mobility;driving;40,5099999999999909
2020-07-30;mobility;driving;42,5800000000000125
2020-07-31;mobility;driving;48,4300000000000068
2020-08-01;mobility;driving;34,9600000000000080
2020-08-02;mobility;driving;29,6699999999999875
2020-08-03;mobility;driving;34,3000000000000114
2020-08-04;mobility;driving;37,6999999999999886
2020-08-05;mobility;driving;37,2100000000000080
2020-08-06;mobility;driving;39,0800000000000125
2020-08-07;mobility;driving;41,4900000000000091
2020-08-08;mobility;driving;39,4099999999999966
2020-08-09;mobility;driving;25,3799999999999955
2020-08-10;mobility;driving;27,5999999999999943
2020-08-11;mobility;driving;29,1399999999999864
2020-08-12;mobility;driving;26,3199999999999932
2020-08-13;mobility;driving;27,4699999999999989
2020-08-14;mobility;driving;35,8499999999999943
2020-08-15;mobility;driving;40,3700000000000045
2020-08-16;mobility;driving;22,1500000000000057
2020-08-17;mobility;driving;26,1099999999999994
2020-08-18;mobility;driving;27,4399999999999977
2020-08-19;mobility;driving;29,1200000000000045
2020-08-20;mobility;driving;30,2800000000000011
2020-08-21;mobility;driving;32,0900000000000034
2020-08-22;mobility;driving;33,4499999999999886
2020-08-23;mobility;driving;17,9599999999999937
2020-08-24;mobility;driving;21,4000000000000057
2020-08-25;mobility;driving;22,5400000000000063
2020-08-26;mobility;driving;22,5900000000000034
2020-08-27;mobility;driving;26,7900000000000063
2020-08-28;mobility;driving;35,9000000000000057
2020-08-29;mobility;driving;33,6800000000000068
2020-08-30;mobility;driving;11,9699999999999989
2020-08-31;mobility;driving;24,5400000000000063
2020-09-01;mobility;driving;25,4399999999999977
2020-09-02;mobility;driving;28,8499999999999943
2020-09-03;mobility;driving;30,6899999999999977
2020-09-04;mobility;driving;44,0200000000000102
2020-09-05;mobility;driving;44,6599999999999966
2020-09-06;mobility;driving;25,2699999999999960
2020-09-07;mobility;driving;31,0800000000000125
2020-09-08;mobility;driving;35,5200000000000102
2020-09-09;mobility;driving;35,5999999999999943
2020-09-10;mobility;driving;13,7699999999999960
2020-09-11;mobility;driving;48,1500000000000057
2020-09-12;mobility;driving;50,3799999999999955
2020-09-13;mobility;driving;35,0000000000000000
2020-09-14;mobility;driving;36,0600000000000023
2020-09-15;mobility;driving;37,8799999999999955
2020-09-16;mobility;driving;36,3300000000000125
2020-09-17;mobility;driving;43,1299999999999955
2020-09-18;mobility;driving;57,8600000000000136
2020-09-19;mobility;driving;52,1500000000000057
2020-09-20;mobility;driving;30,8799999999999955
2020-09-21;mobility;driving;30,8400000000000034
2020-09-22;mobility;driving;28,4199999999999875
2020-09-23;mobility;driving;26,6800000000000068
2020-09-24;mobility;driving;17,9599999999999937
2020-09-25;mobility;driving;31,0300000000000011
2020-09-26;mobility;driving;25,1200000000000045
2020-09-27;mobility;driving;10,9399999999999977
2020-09-28;mobility;driving;25,7699999999999960
2020-09-29;mobility;driving;29,2199999999999989
2020-09-30;mobility;driving;23,9899999999999949
2020-10-01;mobility;driving;28,6999999999999886
