date;category;variable;value
2020-01-01;response;C1_School closing;0
2020-01-01;response;C4_Restrictions on gatherings;0
2020-01-01;response;C6_Stay at home requirements;0
2020-01-02;response;C1_School closing;0
2020-01-02;response;C4_Restrictions on gatherings;0
2020-01-02;response;C6_Stay at home requirements;0
2020-01-03;response;C1_School closing;0
2020-01-03;response;C4_Restrictions on gatherings;0
2020-01-03;response;C6_Stay at home requirements;0
2020-01-04;response;C1_School closing;0
2020-01-04;response;C4_Restrictions on gatherings;0
2020-01-04;response;C6_Stay at home requirements;0
2020-01-05;response;C1_School closing;0
2020-01-05;response;C4_Restrictions on gatherings;0
2020-01-05;response;C6_Stay at home requirements;0
2020-01-06;response;C1_School closing;0
2020-01-06;response;C4_Restrictions on gatherings;0
2020-01-06;response;C6_Stay at home requirements;0
2020-01-07;response;C1_School closing;0
2020-01-07;response;C4_Restrictions on gatherings;0
2020-01-07;response;C6_Stay at home requirements;0
2020-01-08;response;C1_School closing;0
2020-01-08;response;C4_Restrictions on gatherings;0
2020-01-08;response;C6_Stay at home requirements;0
2020-01-09;response;C1_School closing;0
2020-01-09;response;C4_Restrictions on gatherings;0
2020-01-09;response;C6_Stay at home requirements;0
2020-01-10;response;C1_School closing;0
2020-01-10;response;C4_Restrictions on gatherings;0
2020-01-10;response;C6_Stay at home requirements;0
2020-01-11;response;C1_School closing;0
2020-01-11;response;C4_Restrictions on gatherings;0
2020-01-11;response;C6_Stay at home requirements;0
2020-01-12;response;C1_School closing;0
2020-01-12;response;C4_Restrictions on gatherings;0
2020-01-12;response;C6_Stay at home requirements;0
2020-01-13;response;C1_School closing;0
2020-01-13;response;C4_Restrictions on gatherings;0
2020-01-13;response;C6_Stay at home requirements;0
2020-01-14;response;C1_School closing;0
2020-01-14;response;C4_Restrictions on gatherings;0
2020-01-14;response;C6_Stay at home requirements;0
2020-01-15;response;C1_School closing;0
2020-01-15;response;C4_Restrictions on gatherings;0
2020-01-15;response;C6_Stay at home requirements;0
2020-01-16;response;C1_School closing;0
2020-01-16;response;C4_Restrictions on gatherings;0
2020-01-16;response;C6_Stay at home requirements;0
2020-01-17;response;C1_School closing;0
2020-01-17;response;C4_Restrictions on gatherings;0
2020-01-17;response;C6_Stay at home requirements;0
2020-01-18;response;C1_School closing;0
2020-01-18;response;C4_Restrictions on gatherings;0
2020-01-18;response;C6_Stay at home requirements;0
2020-01-19;response;C1_School closing;0
2020-01-19;response;C4_Restrictions on gatherings;0
2020-01-19;response;C6_Stay at home requirements;0
2020-01-20;response;C1_School closing;0
2020-01-20;response;C4_Restrictions on gatherings;0
2020-01-20;response;C6_Stay at home requirements;0
2020-01-21;response;C1_School closing;0
2020-01-21;response;C4_Restrictions on gatherings;0
2020-01-21;response;C6_Stay at home requirements;0
2020-01-22;response;C1_School closing;0
2020-01-22;response;C4_Restrictions on gatherings;0
2020-01-22;response;C6_Stay at home requirements;0
2020-01-23;response;C1_School closing;0
2020-01-23;response;C4_Restrictions on gatherings;0
2020-01-23;response;C6_Stay at home requirements;0
2020-01-24;response;C1_School closing;0
2020-01-24;response;C4_Restrictions on gatherings;0
2020-01-24;response;C6_Stay at home requirements;0
2020-01-25;response;C1_School closing;0
2020-01-25;response;C4_Restrictions on gatherings;0
2020-01-25;response;C6_Stay at home requirements;0
2020-01-26;response;C1_School closing;0
2020-01-26;response;C4_Restrictions on gatherings;0
2020-01-26;response;C6_Stay at home requirements;0
2020-01-27;response;C1_School closing;0
2020-01-27;response;C4_Restrictions on gatherings;0
