meldejahr;kreis_name;fallzahl_influenza
2001;LK Breisgau-Hochschwarzwald;4
2001;LK Emmendingen;4
2001;SK Freiburg i.Breisgau;11
2001;LK Konstanz;NA
2001;LK Lörrach;NA
2001;LK Ortenaukreis;14
2001;LK Rottweil;NA
2001;LK Schwarzwald-Baar-Kreis;1
2001;LK Tuttlingen;11
2001;LK Waldshut;NA
2001;SK Baden-Baden;NA
2001;LK Calw;NA
2001;LK Enzkreis;NA
2001;LK Freudenstadt;NA
2001;SK Heidelberg;NA
2001;SK Karlsruhe;20
2001;LK Karlsruhe;10
2001;SK Mannheim;2
2001;LK Neckar-Odenwald-Kreis;9
2001;SK Pforzheim;NA
2001;LK Rastatt;5
2001;LK Rhein-Neckar-Kreis;NA
2001;LK Böblingen;2
2001;LK Esslingen;9
2001;LK Göppingen;7
2001;LK Heidenheim;7
2001;SK Heilbronn;NA
2001;LK Heilbronn;6
2001;LK Hohenlohekreis;10
2001;LK Ludwigsburg;15
2001;LK Main-Tauber-Kreis;10
2001;LK Ostalbkreis;3
2001;LK Rems-Murr-Kreis;26
2001;LK Schwäbisch Hall;28
2001;SK Stuttgart;34
2001;LK Alb-Donau-Kreis;20
2001;LK Biberach;12
2001;LK Bodenseekreis;1
2001;LK Ravensburg;4
2001;LK Reutlingen;27
2001;LK Sigmaringen;11
2001;LK Tübingen;NA
2001;SK Ulm;18
2001;LK Zollernalbkreis;1
2001;SK Ansbach;NA
2001;LK Ansbach;1
2001;SK Erlangen;7
2001;LK Erlangen-Höchstadt;3
2001;SK Fürth;1
2001;LK Fürth;NA
2001;LK Neustadt a.d.Aisch-Bad Windsheim;NA
2001;SK Nürnberg;21
2001;LK Nürnberger Land;NA
2001;LK Roth;NA
2001;SK Schwabach;NA
2001;LK Weißenburg-Gunzenhausen;NA
2001;LK Deggendorf;3
2001;LK Dingolfing-Landau;1
2001;LK Freyung-Grafenau;NA
2001;LK Kelheim;NA
2001;SK Landshut;NA
2001;LK Landshut;NA
2001;SK Passau;NA
2001;LK Passau;4
2001;LK Regen;2
2001;LK Rottal-Inn;NA
2001;SK Straubing;1
2001;LK Straubing-Bogen;2
2001;LK Altötting;13
2001;LK Bad Tölz-Wolfratshausen;1
2001;LK Berchtesgadener Land;NA
2001;LK Dachau;6
2001;LK Ebersberg;22
2001;LK Eichstätt;1
2001;LK Erding;1
2001;LK Freising;1
2001;LK Fürstenfeldbruck;8
2001;LK Garmisch-Partenkirchen;NA
2001;SK Ingolstadt;3
2001;LK Landsberg a.Lech;NA
2001;LK Miesbach;13
2001;LK Mühldorf a.Inn;3
2001;SK München;48
2001;LK München;11
2001;LK Neuburg-Schrobenhausen;7
2001;LK Pfaffenhofen a.d.Ilm;6
2001;SK Rosenheim;1
2001;LK Rosenheim;8
2001;LK Starnberg;1
2001;LK Traunstein;NA
2001;LK Weilheim-Schongau;1
2001;SK Bamberg;NA
2001;LK Bamberg;NA
2001;SK Bayreuth;NA
2001;LK Bayreuth;NA
2001;SK Coburg;NA
2001;LK Coburg;5
2001;LK Forchheim;3
2001;SK Hof;NA
2001;LK Hof;NA
2001;LK Kronach;2
2001;LK Kulmbach;NA
2001;LK Lichtenfels;NA
2001;LK Wunsiedel i.Fichtelgebirge;NA
2001;SK Amberg;2
2001;LK Amberg-Sulzbach;1
2001;LK Cham;5
2001;LK Neumarkt i.d.OPf.;NA
2001;LK Neustadt a.d.Waldnaab;33
2001;SK Regensburg;NA
2001;LK Regensburg;NA
2001;LK Schwandorf;9
2001;LK Tirschenreuth;3
2001;SK Weiden i.d.OPf.;3
2001;LK Aichach-Friedberg;2
2001;SK Augsburg;NA
2001;LK Augsburg;3
2001;LK Dillingen a.d.Donau;10
2001;LK Donau-Ries;14
2001;LK Günzburg;NA
2001;SK Kaufbeuren;NA
2001;SK Kempten;NA
2001;LK Lindau;1
2001;SK Memmingen;NA
2001;LK Neu-Ulm;NA
2001;LK Oberallgäu;10
2001;LK Ostallgäu;1
2001;LK Unterallgäu;2
2001;SK Aschaffenburg;NA
2001;LK Aschaffenburg;NA
2001;LK Bad Kissingen;NA
2001;LK Haßberge;1
2001;LK Kitzingen;1
2001;LK Main-Spessart;NA
2001;LK Miltenberg;3
2001;LK Rhön-Grabfeld;3
2001;SK Schweinfurt;14
2001;LK Schweinfurt;2
2001;SK Würzburg;NA
2001;LK Würzburg;1
2001;SK Berlin Charlottenburg-Wilmersdorf;9
2001;SK Berlin Friedrichshain-Kreuzberg;20
2001;SK Berlin Lichtenberg;11
2001;SK Berlin Marzahn-Hellersdorf;1
2001;SK Berlin Mitte;14
